store,app,date,rating,tags,text
gp,ASOSU SafeRide - by Via,2025-12-05,1,,The worst app
gp,ASOSU SafeRide - by Via,2026-05-04,1,no_availability,It keeps showing that rides are unavailable because some football game--everyday.
ios,AVTA On-Request,2024-07-05,1,service_cut,Horrible. The app don’t work! I really needed to go somewhere and was unable to use the app. Everything was greyed out and said out of service area when I’m in zone one. It wouldn’t let me enter my home address or pick up address. At this point just taking up space in my phone. Said part is it is the first time I was using the service in 20 years! Now I see this app is unreliable! I was planning on using this service to get to and from work.
ios,AVTA On-Request,2024-09-08,2,,"Only In Lake LA, Little Rock, Sun Village and Pearblossom. It took me awhile to figure out why It constantly said out of service. Turn out it is only a very specific area of the Antelope Valley. The app seems marketed as an all rounder helpful tool to plan bus routes in the General AV but only service Lake LA, Little Rock, Sun Village and Pearblossom and are not clear that it's for only these areas. Its a shame really."
ios,AVTA On-Request,2024-11-11,1,,Useless App. Does not work. At all
ios,AVTA On-Request,2025-08-27,1,wait_late;cancel,Doesn’t come in between time frame. The people are nice but management needs to fix things.Sometimes they come either really early or later than the given time frame and it messes up my schedule (Like when Im at work) and since I have no other way of transportation I rely on this and the bus and when they come early I have to cancel my ride  because I cant leave early and I end up being stuck at work hours after getting off because they come early and since I have to cancel my ride there usually isn’t anymore ride to a few hours later. Please fix this im sick of it… scratch that horrible service they will literally call you and even though you come rught out within a minute or two they leave even after the operator said they can wait. Yall need to be fired at least the people operating the phones.
ios,AVTA On-Request,2026-09-03,3,no_availability;cancel;app_bug,"The latest update makes it very difficult to book a ride, please fix the user interface. Users can attempt to book a ride, if the time slot is not available, one can slide to another time only once before being locked in to retry or cancel. Previous versions allowed users to keep trying time slots until an open one was (hopefully ) found. Also, users get kicked out of the “book return ride” to easily.  Inconvenient for Microtransit users, but a serious issue for Dial-A-Ride users."
ios,Abu Dhabi Link,2022-03-04,1,,انتباه. جودة ضعيف يتعذر امساك الباص من الساعة 9 مساءا حيت يتم كنسلة من طرف الشبكة ابتداءا من الساعة 9 وشكرا
ios,Abu Dhabi Link,2024-08-07,5,,Very Convenient. It’s so easy to use and the timing are accurate about the arrivals. Very cost effective as well.
ios,Abu Dhabi Link,2025-09-26,1,wait_late;cancel,"Drivers make me insane. While i like the idea of the shared on demand bus service, the implementation is not ideal. Many times the bus drivers ruined my day by not stopping or coming to a different place than set on the map and cancelling the order. The wait is long as well, usually 30 minutes."
gp,Arlington Transportation,2023-08-14,1,wait_late,On 1st attempt failed to connect to internet asking me to review my connection . I am trying to request a ride for half an hour....
gp,Arlington Transportation,2023-08-14,1,,We can't use the ride credit.
